                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 0.7332,                0.76154,                 1.0236,                 0.9691,                0.96588,                0.99116,                0.85471,                0.68399,                 0.6222,                0.95421,              0.0001189,              0.0001189,              0.0001189
                     92,                0.70979,                0.70169,                0.99234,                 0.9742,                0.98281,                0.99495,                0.86006,                 0.6731,                0.64112,                0.94966,               0.000109,               0.000109,               0.000109
                     93,                0.69841,                0.71807,                 0.9847,                 0.9742,                0.98281,                0.99495,                0.86006,                 0.6731,                0.64112,                0.94966,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.68848,                0.74473,                 1.0051,                0.95408,                0.96791,                0.99112,                0.86116,                0.66688,                0.65632,                0.94696,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.68246,                0.71917,                0.96728,                0.95427,                0.96928,                0.99107,                0.86301,                0.66242,                0.66984,                0.94407,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.68567,                 0.7372,                0.98157,                0.95187,                0.96789,                  0.991,                 0.8644,                0.66069,                0.67852,                0.94204,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.67108,                0.75546,                0.97374,                0.95187,                0.96789,                  0.991,                 0.8644,                0.66069,                0.67852,                0.94204,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.67335,                 0.7337,                 1.0004,                0.95435,                0.96487,                0.99097,                0.86209,                0.66501,                0.67599,                0.94215,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.66416,                0.71726,                0.97273,                0.97309,                0.98771,                0.99488,                0.86745,                0.66792,                  0.665,                0.94201,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.66733,                0.73445,                0.96768,                0.97791,                0.98543,                 0.9949,                0.86724,                0.66997,                0.65422,                0.94218,               2.98e-05,               2.98e-05,               2.98e-05
